Gene stable ID	Gene name	Transcript length (including UTRs and CDS)
ENSG00000067048	DDX3Y	621
ENSG00000067048	DDX3Y	517
ENSG00000183878	UTY	4571
ENSG00000183878	UTY	3391
ENSG00000183878	UTY	398
ENSG00000183878	UTY	2098
ENSG00000183878	UTY	4705
ENSG00000183878	UTY	6529
ENSG00000183878	UTY	6174
ENSG00000183878	UTY	5239
ENSG00000183878	UTY	4179
ENSG00000183878	UTY	4008
ENSG00000183878	UTY	4092
ENSG00000183878	UTY	4170
ENSG00000183878	UTY	4104
ENSG00000183878	UTY	4200
ENSG00000183878	UTY	3795
ENSG00000183878	UTY	3636
ENSG00000183878	UTY	4990
ENSG00000183878	UTY	4325
ENSG00000183878	UTY	747
ENSG00000183878	UTY	1387
ENSG00000183878	UTY	1539
ENSG00000183878	UTY	686
ENSG00000154620	TMSB4Y	1337
ENSG00000129864	VCY	510
ENSG00000187191	DAZ3	3417
ENSG00000187191	DAZ3	3277
ENSG00000187191	DAZ3	3372
ENSG00000187191	DAZ3	2242
ENSG00000187191	DAZ3	1502
ENSG00000188120	DAZ1	4335
ENSG00000188120	DAZ1	3268
ENSG00000188120	DAZ1	2242
ENSG00000188120	DAZ1	1846
ENSG00000099721	AMELY	926
ENSG00000099721	AMELY	621
ENSG00000092377	TBL1Y	2312
ENSG00000092377	TBL1Y	2376
ENSG00000092377	TBL1Y	2396
ENSG00000092377	TBL1Y	523
ENSG00000205944	DAZ2	3791
ENSG00000205944	DAZ2	4065
ENSG00000205944	DAZ2	2405
ENSG00000168757	TSPY2	779
ENSG00000168757	TSPY2	1166
ENSG00000168757	TSPY2	1125
ENSG00000168757	TSPY2	1895
ENSG00000168757	TSPY2	582
ENSG00000233803	TSPY4	1179
ENSG00000233803	TSPY4	663
ENSG00000233803	TSPY4	1143
ENSG00000233803	TSPY4	1913
ENSG00000233803	TSPY4	593
ENSG00000229549	TSPY8	1161
ENSG00000229549	TSPY8	435
ENSG00000229549	TSPY8	1125
ENSG00000229549	TSPY8	1895
ENSG00000229549	TSPY8	582
ENSG00000228927	TSPY3	1161
ENSG00000228927	TSPY3	414
ENSG00000228927	TSPY3	1125
ENSG00000228927	TSPY3	1895
ENSG00000228927	TSPY3	593
ENSG00000242389	RBMY1E	1718
ENSG00000242389	RBMY1E	1882
ENSG00000242389	RBMY1E	1773
ENSG00000165246	NLGN4Y	7368
ENSG00000165246	NLGN4Y	793
ENSG00000165246	NLGN4Y	6617
ENSG00000165246	NLGN4Y	5167
ENSG00000165246	NLGN4Y	5338
ENSG00000165246	NLGN4Y	5460
ENSG00000165246	NLGN4Y	530
ENSG00000165246	NLGN4Y	540
ENSG00000165246	NLGN4Y	7194
ENSG00000165246	NLGN4Y	5310
ENSG00000165246	NLGN4Y	722
ENSG00000167393	PPP2R3B	2378
ENSG00000167393	PPP2R3B	1090
ENSG00000167393	PPP2R3B	5802
ENSG00000167393	PPP2R3B	713
ENSG00000167393	PPP2R3B	732
ENSG00000167393	PPP2R3B	519
ENSG00000167393	PPP2R3B	1998
ENSG00000167393	PPP2R3B	458
ENSG00000167393	PPP2R3B	408
ENSG00000167393	PPP2R3B	782
ENSG00000177504	VCX2	815
ENSG00000185291	IL3RA	1541
ENSG00000185291	IL3RA	662
ENSG00000185291	IL3RA	1476
ENSG00000182162	P2RY8	4267
ENSG00000182162	P2RY8	407
ENSG00000205542	TMSB4X	622
ENSG00000205542	TMSB4X	1702
ENSG00000205542	TMSB4X	767
ENSG00000205542	TMSB4X	495
ENSG00000169100	SLC25A6	1451
ENSG00000169100	SLC25A6	900
ENSG00000169100	SLC25A6	854
ENSG00000125363	AMELX	793
ENSG00000125363	AMELX	835
ENSG00000125363	AMELX	737
ENSG00000196433	ASMT	1330
ENSG00000196433	ASMT	1087
ENSG00000196433	ASMT	989
ENSG00000196433	ASMT	510
ENSG00000196433	ASMT	442
ENSG00000178605	GTPBP6	2016
ENSG00000178605	GTPBP6	1907
ENSG00000169084	DHRSX	2579
ENSG00000169084	DHRSX	744
ENSG00000169084	DHRSX	572
ENSG00000169084	DHRSX	797
ENSG00000169084	DHRSX	539
ENSG00000169084	DHRSX	679
ENSG00000169084	DHRSX	490
ENSG00000169093	ASMTL	2065
ENSG00000169093	ASMTL	2035
ENSG00000169093	ASMTL	874
ENSG00000169093	ASMTL	573
ENSG00000169093	ASMTL	851
ENSG00000169093	ASMTL	2048
ENSG00000205755	CRLF2	1538
ENSG00000205755	CRLF2	1789
ENSG00000205755	CRLF2	1545
ENSG00000205755	CRLF2	1013
ENSG00000146938	NLGN4X	600
ENSG00000146938	NLGN4X	5858
ENSG00000146938	NLGN4X	5454
ENSG00000146938	NLGN4X	3124
ENSG00000146938	NLGN4X	3750
ENSG00000146938	NLGN4X	894
ENSG00000146938	NLGN4X	749
ENSG00000146938	NLGN4X	5865
ENSG00000197976	AKAP17A	3199
ENSG00000197976	AKAP17A	3232
ENSG00000197976	AKAP17A	2187
ENSG00000153779	TGIF2LX	880
ENSG00000153779	TGIF2LX	928
ENSG00000198034	RPS4X	610
ENSG00000198034	RPS4X	355
ENSG00000198034	RPS4X	1474
ENSG00000198034	RPS4X	1820
ENSG00000198034	RPS4X	594
ENSG00000124333	VAMP7	2594
ENSG00000124333	VAMP7	742
ENSG00000124333	VAMP7	696
ENSG00000124333	VAMP7	673
ENSG00000124333	VAMP7	2496
ENSG00000124333	VAMP7	658
ENSG00000215301	DDX3X	4635
ENSG00000215301	DDX3X	553
ENSG00000215301	DDX3X	5036
ENSG00000215301	DDX3X	3237
ENSG00000215301	DDX3X	3013
ENSG00000215301	DDX3X	3457
ENSG00000215301	DDX3X	3289
ENSG00000215301	DDX3X	3120
ENSG00000215301	DDX3X	3181
ENSG00000215301	DDX3X	570
ENSG00000215301	DDX3X	3397
ENSG00000215301	DDX3X	4786
ENSG00000215301	DDX3X	1434
ENSG00000215301	DDX3X	2333
ENSG00000215301	DDX3X	522
ENSG00000215301	DDX3X	485
ENSG00000215301	DDX3X	1200
ENSG00000215301	DDX3X	5071
ENSG00000215301	DDX3X	4122
ENSG00000215301	DDX3X	4239
ENSG00000215301	DDX3X	4245
ENSG00000215301	DDX3X	4327
ENSG00000215301	DDX3X	4989
ENSG00000215301	DDX3X	4409
ENSG00000215301	DDX3X	5817
ENSG00000215301	DDX3X	4435
ENSG00000215301	DDX3X	5594
ENSG00000215301	DDX3X	5340
ENSG00000215301	DDX3X	4605
ENSG00000215301	DDX3X	4649
ENSG00000215301	DDX3X	4596
ENSG00000215301	DDX3X	5493
ENSG00000215301	DDX3X	4698
ENSG00000215301	DDX3X	4620
ENSG00000215301	DDX3X	4632
ENSG00000215301	DDX3X	4467
ENSG00000215301	DDX3X	6203
ENSG00000215301	DDX3X	4554
ENSG00000215301	DDX3X	1441
ENSG00000215301	DDX3X	710
ENSG00000215301	DDX3X	1592
ENSG00000215301	DDX3X	4349
ENSG00000215301	DDX3X	2129
ENSG00000215301	DDX3X	570
ENSG00000215301	DDX3X	4457
ENSG00000215301	DDX3X	4273
ENSG00000215301	DDX3X	608
ENSG00000215301	DDX3X	5651
ENSG00000215301	DDX3X	4231
ENSG00000215301	DDX3X	2469
ENSG00000215301	DDX3X	2049
ENSG00000215301	DDX3X	7473
ENSG00000215301	DDX3X	5617
ENSG00000215301	DDX3X	5141
ENSG00000215301	DDX3X	5789
ENSG00000215301	DDX3X	6724
ENSG00000215301	DDX3X	7284
ENSG00000215301	DDX3X	4693
ENSG00000215301	DDX3X	2940
ENSG00000215301	DDX3X	1059
ENSG00000215301	DDX3X	4257
ENSG00000215301	DDX3X	4508
ENSG00000215301	DDX3X	329
ENSG00000215301	DDX3X	4116
ENSG00000215301	DDX3X	1331
ENSG00000215301	DDX3X	530
ENSG00000215301	DDX3X	844
ENSG00000215301	DDX3X	3377
ENSG00000215301	DDX3X	782
ENSG00000182484	WASH6P	720
ENSG00000182484	WASH6P	1437
ENSG00000182484	WASH6P	4244
ENSG00000182484	WASH6P	828
ENSG00000182484	WASH6P	781
ENSG00000182484	WASH6P	1769
ENSG00000182484	WASH6P	3187
ENSG00000182484	WASH6P	1826
ENSG00000182484	WASH6P	542
ENSG00000182484	WASH6P	786
ENSG00000182484	WASH6P	2980
ENSG00000182484	WASH6P	658
ENSG00000182484	WASH6P	1641
ENSG00000182484	WASH6P	832
ENSG00000182484	WASH6P	534
ENSG00000005889	ZFX	475
ENSG00000005889	ZFX	600
ENSG00000005889	ZFX	6801
ENSG00000005889	ZFX	7513
ENSG00000005889	ZFX	300
ENSG00000005889	ZFX	7558
ENSG00000005889	ZFX	7612
ENSG00000005889	ZFX	673
ENSG00000005889	ZFX	367
ENSG00000005889	ZFX	2906
ENSG00000005889	ZFX	651
ENSG00000198223	CSF2RA	1815
ENSG00000198223	CSF2RA	2291
ENSG00000198223	CSF2RA	900
ENSG00000198223	CSF2RA	802
ENSG00000198223	CSF2RA	1940
ENSG00000198223	CSF2RA	1601
ENSG00000198223	CSF2RA	489
ENSG00000198223	CSF2RA	459
ENSG00000198223	CSF2RA	1410
ENSG00000198223	CSF2RA	1671
ENSG00000198223	CSF2RA	1628
ENSG00000198223	CSF2RA	1283
ENSG00000198223	CSF2RA	391
ENSG00000198223	CSF2RA	392
ENSG00000198223	CSF2RA	476
ENSG00000198223	CSF2RA	389
ENSG00000198223	CSF2RA	1114
ENSG00000198223	CSF2RA	1622
ENSG00000198223	CSF2RA	1955
ENSG00000182378	PLCXD1	5287
ENSG00000182378	PLCXD1	540
ENSG00000182378	PLCXD1	587
ENSG00000182378	PLCXD1	555
ENSG00000182378	PLCXD1	469
ENSG00000182378	PLCXD1	5318
ENSG00000182378	PLCXD1	284
ENSG00000182378	PLCXD1	579
ENSG00000182378	PLCXD1	587
ENSG00000182378	PLCXD1	828
ENSG00000101849	TBL1X	5571
ENSG00000101849	TBL1X	4674
ENSG00000101849	TBL1X	5415
ENSG00000101849	TBL1X	5818
ENSG00000101849	TBL1X	496
ENSG00000101849	TBL1X	5121
ENSG00000101849	TBL1X	7061
ENSG00000101849	TBL1X	525
ENSG00000101849	TBL1X	387
ENSG00000101849	TBL1X	3342
ENSG00000101849	TBL1X	5233
ENSG00000101849	TBL1X	2032
ENSG00000101849	TBL1X	923
ENSG00000101849	TBL1X	3237
ENSG00000147050	KDM6A	5677
ENSG00000147050	KDM6A	5363
ENSG00000147050	KDM6A	5599
ENSG00000147050	KDM6A	6395
ENSG00000147050	KDM6A	5563
ENSG00000147050	KDM6A	5343
ENSG00000147050	KDM6A	5779
ENSG00000147050	KDM6A	6135
ENSG00000147050	KDM6A	5642
ENSG00000147050	KDM6A	5395
ENSG00000147050	KDM6A	5778
ENSG00000147050	KDM6A	5622
ENSG00000147050	KDM6A	5644
ENSG00000147050	KDM6A	5520
ENSG00000147050	KDM6A	5761
ENSG00000147050	KDM6A	5505
ENSG00000147050	KDM6A	6094
ENSG00000147050	KDM6A	4634
ENSG00000147050	KDM6A	6164
ENSG00000147050	KDM6A	5335
ENSG00000147050	KDM6A	2595
ENSG00000147050	KDM6A	4883
ENSG00000147050	KDM6A	5237
ENSG00000147050	KDM6A	5256
ENSG00000147050	KDM6A	612
ENSG00000147050	KDM6A	4944
ENSG00000147050	KDM6A	5780
ENSG00000147050	KDM6A	5377
ENSG00000147050	KDM6A	7459
ENSG00000147050	KDM6A	4081
ENSG00000147050	KDM6A	4189
ENSG00000147050	KDM6A	12117
ENSG00000147050	KDM6A	2316
ENSG00000147050	KDM6A	382
ENSG00000147050	KDM6A	640
ENSG00000147050	KDM6A	1675
ENSG00000147050	KDM6A	4428
ENSG00000124486	USP9X	12591
ENSG00000124486	USP9X	12543
ENSG00000124486	USP9X	669
ENSG00000124486	USP9X	479
ENSG00000124486	USP9X	666
ENSG00000124486	USP9X	548
ENSG00000124486	USP9X	581
ENSG00000124486	USP9X	757
ENSG00000214717	ZBED1	4507
ENSG00000214717	ZBED1	4510
ENSG00000214717	ZBED1	4498
ENSG00000214717	ZBED1	905
ENSG00000214717	ZBED1	2832
ENSG00000214717	ZBED1	947
ENSG00000002586	CD99	1243
ENSG00000002586	CD99	892
ENSG00000002586	CD99	918
ENSG00000002586	CD99	583
ENSG00000002586	CD99	497
ENSG00000002586	CD99	1129
ENSG00000002586	CD99	842
ENSG00000002586	CD99	1089
ENSG00000002586	CD99	1278
ENSG00000002586	CD99	533
ENSG00000002586	CD99	573
ENSG00000002586	CD99	604
ENSG00000002586	CD99	466
ENSG00000002586	CD99	815
ENSG00000002586	CD99	756
ENSG00000102290	PCDH11X	4767
ENSG00000102290	PCDH11X	4603
ENSG00000102290	PCDH11X	9146
ENSG00000102290	PCDH11X	9179
ENSG00000102290	PCDH11X	4069
ENSG00000102290	PCDH11X	4017
ENSG00000102290	PCDH11X	4126
ENSG00000102290	PCDH11X	4156
ENSG00000102290	PCDH11X	9022
ENSG00000126012	KDM5C	5061
ENSG00000126012	KDM5C	4978
ENSG00000126012	KDM5C	4749
ENSG00000126012	KDM5C	4512
ENSG00000126012	KDM5C	5170
ENSG00000126012	KDM5C	6096
ENSG00000126012	KDM5C	5810
ENSG00000126012	KDM5C	5677
ENSG00000126012	KDM5C	4807
ENSG00000126012	KDM5C	5245
ENSG00000126012	KDM5C	5122
ENSG00000126012	KDM5C	297
ENSG00000126012	KDM5C	1403
ENSG00000126012	KDM5C	3833
ENSG00000126012	KDM5C	1361
ENSG00000126012	KDM5C	3539
ENSG00000126012	KDM5C	3553
ENSG00000126012	KDM5C	394
ENSG00000126012	KDM5C	870
ENSG00000126012	KDM5C	600
ENSG00000126012	KDM5C	446
ENSG00000126012	KDM5C	766
ENSG00000126012	KDM5C	548
ENSG00000205642	VCX3B	1175
ENSG00000169059	VCX3A	995
ENSG00000169059	VCX3A	808
ENSG00000185960	SHOX	3757
ENSG00000185960	SHOX	1951
ENSG00000185960	SHOX	7934
ENSG00000185960	SHOX	1351
ENSG00000124334	IL9R	2038
ENSG00000124334	IL9R	2032
ENSG00000124334	IL9R	298
ENSG00000124334	IL9R	308
ENSG00000182583	VCX	967
ENSG00000182583	VCX	774
ENSG00000182583	VCX	781
ENSG00000182583	VCX	612
ENSG00000182583	VCX	694
ENSG00000173674	EIF1AX	4414
ENSG00000173674	EIF1AX	765
